id,nombre,descripcion,ph_min,ph_max,humedad_min,humedad_max,altitud_min,altitud_max,temp_min,temp_max
1,Pasto Elefante,Forraje tropical de alta producción,5.63,6.89,62.1,77.2,88,1790,20.3,34.7
2,Alfalfa,Leguminosa rica en proteína para ganado,5.91,7.48,50.8,72.2,1095,3271,14.9,28.6
3,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.66,6.31,39.5,73.7,80,2060,21.3,36.5
4,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.1,6.82,44.1,82.8,39,2104,19.3,34.5
5,Pasto Guinea,Pasto tropical de rápido crecimiento,5.08,6.87,55.7,78.1,81,1805,22.1,33.6
6,Pasto Kikuyo,Muy usado en lechería de clima frío,5.31,7.01,66.8,87.7,1741,3279,9.3,22.6
7,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.64,7.2,65.2,83.4,1757,3205,7.5,20.3
8,Ray Grass Italiano,Forraje de alta digestibilidad,5.8,6.98,57.1,82.8,1562,2940,10.4,22.0
9,Maíz Forrajero,Utilizado principalmente para ensilaje,5.37,6.95,56.5,82.5,0,2414,17.9,31.3
10,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.11,6.88,47.8,72.8,82,2235,20.7,37.6
11,Avena Forrajera,Excelente producción en clima frío,5.69,7.33,61.6,84.2,1557,3118,8.8,20.4
12,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.98,7.37,55.7,73.0,1246,2727,11.2,23.1
13,Trébol Rojo,Forraje de buena calidad nutricional,6.05,7.26,51.6,76.8,1220,2973,9.6,24.2
14,Canavalia,Leguminosa usada como cobertura y forraje,5.34,7.45,50.7,80.8,97,1828,19.9,31.8
15,Leucaena,Árbol forrajero rico en proteína,5.53,7.57,43.8,73.8,0,1711,21.0,35.8
16,Botón de Oro,Forraje arbustivo de alta proteína,4.98,6.93,52.7,83.6,88,2534,18.1,31.0
17,King Grass,Variedad de pasto de gran rendimiento,5.62,7.06,59.8,86.2,60,1709,22.0,35.4
18,Pasto Estrella,Pasto tropical resistente al pastoreo,5.04,6.75,50.1,80.0,1,2042,22.5,35.3
19,Pasto Tanner,Pasto adaptado a suelos húmedos,4.68,6.41,67.2,88.2,0,1558,22.8,34.7
20,Pasto Pangola,Excelente digestibilidad para bovinos,4.97,7.12,57.0,81.4,29,1839,19.3,34.7
21,Moringa,Árbol forrajero con alto contenido nutricional,5.01,7.56,38.6,67.8,100,1574,24.0,38.3
22,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.04,7.03,47.4,74.1,0,2094,19.3,33.9
23,Pennisetum Purpureum,Pasto tropical para corte,5.67,7.1,61.9,84.0,0,1820,21.0,35.5
24,Maralfalfa,Pasto híbrido de alta producción,5.47,7.07,58.2,87.7,0,1972,20.5,34.9
25,Caña Forrajera,Utilizada como suplemento energético,5.06,7.56,56.5,79.9,0,1856,21.6,35.4
26,Centrosema,Leguminosa tropical rastrera,4.98,6.73,57.0,82.7,0,1850,21.0,33.3
27,Desmodium,Leguminosa de buena digestibilidad,5.31,7.19,50.6,81.9,87,2134,17.5,31.0
28,Guandul,Leguminosa arbustiva resistente,4.86,7.46,44.9,76.6,51,1918,19.3,34.8
29,Caupí Forrajero,Leguminosa anual tropical,5.07,7.02,50.4,77.8,0,1870,21.2,34.2
30,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.05,7.1,43.6,81.1,0,2108,20.8,35.4
31,Pasto Alemán,Forraje adaptado a zonas húmedas,4.9,6.46,68.8,97.5,87,1114,21.7,34.6
32,Pasto Jaragua,Muy resistente a altas temperaturas,4.73,6.81,37.9,72.6,70,1794,24.8,37.6
33,Pasto Angleton,Forraje tropical para pastoreo,4.88,6.64,42.2,72.8,84,1845,21.1,36.0
34,Pasto Toledo,Variedad mejorada de brachiaria,4.9,6.65,51.0,77.5,0,2175,19.7,35.4
35,Pasto Mombasa,Alta producción de biomasa,5.18,6.97,53.8,82.3,0,1730,22.7,35.1
36,Pasto Tanzania,Excelente calidad nutricional,5.08,7.13,53.3,82.0,0,1809,22.6,34.9
37,Pasto Mulato II,Híbrido resistente y nutritivo,5.05,6.67,50.6,79.8,29,2237,20.2,36.9
38,Pasto Humidícola,Ideal para terrenos inundables,4.68,6.39,77.8,92.7,93,1280,22.5,34.4
39,Pasto Rhodes,Muy usado en sistemas ganaderos,5.01,7.12,42.1,75.0,73,2272,20.8,37.0
40,Pasto Buffel,Excelente resistencia a sequía,5.14,7.55,35.8,63.1,90,1737,23.2,40.0
41,Soja Forrajera,Fuente rica en proteína vegetal,5.79,7.15,47.7,73.8,10,1881,20.6,32.0
42,Vicia,Leguminosa usada en mezcla con gramíneas,6.07,7.4,53.7,78.5,1222,2926,9.5,24.7
43,Cebada Forrajera,Excelente para climas templados,5.81,7.33,50.4,77.8,1464,3267,7.2,20.8
44,Festuca,Gramínea perenne para clima frío,5.58,6.86,60.0,85.7,1868,3160,8.6,20.0
45,Dactylis Glomerata,Pasto resistente al frío,5.49,6.94,57.9,80.4,1710,3289,7.4,20.8
46,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.58,7.57,49.7,72.4,1406,3201,10.4,24.6
47,Pasto Sudan,Híbrido de rápido crecimiento,4.89,6.98,46.6,68.8,0,1855,22.1,37.3
48,Arachis Pintoi,Leguminosa rastrera tropical,4.95,6.77,56.3,87.9,31,1745,19.9,33.2
49,Calliandra,Arbusto forrajero rico en proteína,5.46,7.47,49.0,80.7,0,2429,17.7,29.2
50,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.88,6.94,43.9,76.5,0,1807,22.1,36.1
51,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.04,6.9,52.4,86.6,0,2166,18.0,32.5
52,Pasto Elefante,Forraje tropical de alta producción,5.58,6.86,61.6,80.1,0,1845,20.2,35.1
53,Alfalfa,Leguminosa rica en proteína para ganado,5.99,7.66,50.9,72.8,972,3176,15.7,28.3
54,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.61,6.51,42.5,75.6,4,1942,21.1,35.4
55,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.12,6.75,45.5,79.7,0,2213,19.1,34.7
56,Pasto Guinea,Pasto tropical de rápido crecimiento,5.16,7.06,54.9,77.0,0,1716,22.4,34.1
57,Pasto Kikuyo,Muy usado en lechería de clima frío,5.41,6.87,66.9,91.8,1721,3160,10.6,21.2
58,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.98,7.14,67.8,84.0,1866,3151,8.1,20.7
59,Ray Grass Italiano,Forraje de alta digestibilidad,5.82,7.0,57.5,85.4,1503,3026,9.2,22.4
60,Maíz Forrajero,Utilizado principalmente para ensilaje,5.7,7.09,57.6,78.8,0,2430,17.0,31.4
61,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.16,7.2,47.1,68.5,0,2175,19.3,37.5
62,Avena Forrajera,Excelente producción en clima frío,5.72,7.33,63.0,86.8,1576,3193,8.9,20.9
63,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.13,7.44,52.7,77.6,1227,2834,12.7,23.2
64,Trébol Rojo,Forraje de buena calidad nutricional,5.94,7.39,50.2,72.8,1272,2925,10.8,24.9
65,Canavalia,Leguminosa usada como cobertura y forraje,5.31,7.48,50.0,77.3,0,1798,19.4,31.9
66,Leucaena,Árbol forrajero rico en proteína,5.62,7.43,44.2,72.8,19,1799,22.0,35.8
67,Botón de Oro,Forraje arbustivo de alta proteína,5.07,7.03,47.2,83.8,17,2518,18.7,30.4
68,King Grass,Variedad de pasto de gran rendimiento,5.69,7.0,62.5,83.8,0,1850,22.0,35.2
69,Pasto Estrella,Pasto tropical resistente al pastoreo,4.94,6.99,48.6,77.6,92,2015,21.8,35.7
70,Pasto Tanner,Pasto adaptado a suelos húmedos,4.82,6.66,71.7,88.1,0,1561,21.6,33.9
71,Pasto Pangola,Excelente digestibilidad para bovinos,5.05,7.11,55.9,79.3,0,1779,20.4,34.3
72,Moringa,Árbol forrajero con alto contenido nutricional,5.15,7.41,40.6,68.0,41,1444,23.4,38.1
73,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.18,7.01,48.1,77.8,0,1938,20.4,34.6
74,Pennisetum Purpureum,Pasto tropical para corte,5.31,7.07,62.7,86.9,4,1723,21.3,35.1
75,Maralfalfa,Pasto híbrido de alta producción,5.65,7.03,57.8,83.8,40,1915,19.4,34.4
76,Caña Forrajera,Utilizada como suplemento energético,5.2,7.39,54.8,78.4,39,1777,22.9,36.9
77,Centrosema,Leguminosa tropical rastrera,4.98,6.77,52.5,84.8,35,1813,20.2,33.9
78,Desmodium,Leguminosa de buena digestibilidad,5.39,6.87,49.4,79.1,45,2204,18.7,31.9
79,Guandul,Leguminosa arbustiva resistente,4.82,7.51,46.7,72.2,0,1938,19.2,34.2
80,Caupí Forrajero,Leguminosa anual tropical,5.18,6.85,49.0,73.9,0,1758,21.7,33.9
81,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.84,6.92,47.7,78.8,45,2235,20.1,36.3
82,Pasto Alemán,Forraje adaptado a zonas húmedas,5.1,6.53,71.4,92.2,0,1271,21.5,33.9
